"> 时间","> 描述","> 类别标签","> 开始日期","> 结束日期","> 备注","> 标识码"
"0.419","Coupon  看一个用相似做的脚本,对merge()看不懂","1P","2015-09-15 10:04:32","2015-09-15 10:29:41","","7p26OLpRSIyLsEm3wZAUcQ"
"0.333","跟同学打电话","4Pr","2015-09-15 09:35:43","2015-09-15 09:55:43","","wu-yWIeyRfuq59BPIJ3tkg"
"0.417","日记","2PM","2015-09-15 09:10:13","2015-09-15 09:35:13","","UOLR3D8eSCCIroqDjqqbPw"
"0.453","《观呼吸》读书笔记","2R","2015-09-15 08:42:08","2015-09-15 09:09:20","","_L6_8f5cSBeNCHoyNK8jXQ"
"0.250","时间记录","2PM","2015-09-14 22:50:29","2015-09-14 23:05:29","","84b_56wQQFGJOMXDFM4Sow"
"0.333","整理论文","4BK","2015-09-14 22:20:57","2015-09-14 22:40:57","","VI4rkJ7FQM2Nr6pIodq1aA"
"0.250","跟学弟扯淡","4BK","2015-09-14 22:00:25","2015-09-14 22:15:25","","gZJQCIk7TI-hIiVx40iJQA"
"0.500","跟老板开会","4BK","2015-09-14 21:20:50","2015-09-14 21:50:50","","6aD9bf-4Swyz7ql2MZ3jiQ"
"4.167","腾讯志愿者","4Pr","2015-09-14 16:20:56","2015-09-14 20:30:56","","K7oaYjFTTT64YDeZ0K_j3g"
"0.333","看论文","4BK","2015-09-14 16:00:02","2015-09-14 16:20:02","","qC4dOPvWSeG-KWR4kUEpZw"
"0.500","陷在找篇论文里，然后没找到","4BK","2015-09-14 15:20:22","2015-09-14 15:50:22","","dT3gL9PiQg2gX_BbRB3YYQ"
"0.628","找篇论文没找到","4BK","2015-09-14 14:37:15","2015-09-14 15:14:56","","Ds7mqomPSlCw8S16O1-Hvg"
"0.217","学车的事","4O","2015-09-14 14:20:54","2015-09-14 14:33:54","","PEgM92zaToaysl05H0zmww"
"0.169","看论文","4BK","2015-09-14 14:07:46","2015-09-14 14:17:56","","jvNwmtObQEOlpgrNReVd2w"
"0.459","看论文","4BK","2015-09-14 13:24:53","2015-09-14 13:52:25","","798qDXYdTzSHa8CkDs1_2A"
"2.500","周记","2PM","2015-09-14 09:00:45","2015-09-14 11:30:45","","iCEEvMhrQDGLzhzN5QrS4Q"
"0.500","日记","2PM","2015-09-14 08:20:58","2015-09-14 08:50:58","","dzvAiwwvRRyL2727Q-M62g"
"0.250","乱想","4Pr","2015-09-14 08:05:58","2015-09-14 08:20:58","","ah6cuWSNRta0P5-O5LNgSA"
"0.333","在黑板上乱画","4Pr","2015-09-14 07:45:02","2015-09-14 08:05:02","","e1DoY1EISqizqrxyC_iWRw"
"0.500","周日记 ，时间统计程序","2PM","2015-09-13 21:50:34","2015-09-13 22:20:34","","ebpG2B1xTyG32Bn6Kyth9g"
"0.250","乱查 天津大学 代老师","4Pr","2015-09-13 21:30:49","2015-09-13 21:45:49","","eM6oK5udT_KxvjCWNuL8Yw"
"0.491","Coupon 思路混乱","1P","2015-09-13 20:55:49","2015-09-13 21:25:18","","-8MCcObZTaeaQ98LX_dApA"
"0.661","Coupon  看一个用相似做的脚本 差点睡着","1P","2015-09-13 19:56:40","2015-09-13 20:36:19","","ow-h7eDcQWOulv8mv9Jtqg"
"0.717","Coupon ","1P","2015-09-13 19:00:05","2015-09-13 19:43:05","","sz3tccynRDCvCh2dBFmRKw"
"0.167","玩手机","4Pr","2015-09-13 18:35:12","2015-09-13 18:45:12","","SeLBX3_kQrKH3T4dczGwyA"
"0.417","操场练","2S","2015-09-13 17:20:40","2015-09-13 17:45:40","","Bree-J5jT4StaF2qj6D4Nw"
"0.521","Coupon ","1P","2015-09-13 16:29:04","2015-09-13 17:00:18","","dnrdYIfZREWEkbe8Syifwg"
"0.451","规则提取","4BK","2015-09-13 15:53:05","2015-09-13 16:20:07","","mWV_NhKxTMqbd6pMRScADg"
"0.520","DM提取规则","4BK","2015-09-13 15:14:10","2015-09-13 15:45:23","","C0NhecyNTJ2agRxGUiCETg"
"0.517","周日记 ，时间统计程序","2PM","2015-09-13 14:35:45","2015-09-13 15:06:45","","292rbB6RQL-2uEa3OPg7lQ"
"0.833","周日记 ，时间统计程序","2PM","2015-09-13 13:25:54","2015-09-13 14:15:54","","g_ku19eMRwqqjJ2juVp7-w"
"0.667","周日记","2PM","2015-09-13 11:10:50","2015-09-13 11:50:50","","89wFIDLuTcGfQF-lvzwclA"
"1.167","弄瑜伽课的事","4Pr","2015-09-13 09:50:13","2015-09-13 11:00:13","","US5G1S1rSPmOrW4NIkiUNQ"
"1.167","日记","2PM","2015-09-13 08:25:47","2015-09-13 09:35:47","","_3BsoBYCRxWGYf2y6IVRYg"
"0.616","Coupon 位置处理，状态很差快睡着了","1P","2015-09-11 21:03:38","2015-09-11 21:40:36","","zQObofwrQgexAVw2PRejHw"
"0.470","Coupon Sqlite","1P","2015-09-11 20:24:58","2015-09-11 20:53:09","","FSTKf8ZtS7W2h8TdIa87aw"
"0.500","想明天去紫金港的事","4Pr","2015-09-11 19:50:24","2015-09-11 20:20:24","","OLnX0CdfSsW8fMuD6dtPVA"
"0.456","Coupon Sqlite","1P","2015-09-11 19:18:04","2015-09-11 19:45:26","","sQkEAe-eQkejyU8zkdXSsQ"
"0.167","和同学打电话","4O","2015-09-11 19:00:11","2015-09-11 19:10:11","","RggnUorNRSidmo_JegHG8A"
"0.500","操场练","2S","2015-09-11 17:30:04","2015-09-11 18:00:04","","ayAI5KvvSgimhHT5scAC5Q"
"0.156","Coupon Sqlite","1P","2015-09-11 17:01:14","2015-09-11 17:10:34","","UiMdiiywQ8qLuSSq6b91dw"
"0.423","Coupon 想思路","1P","2015-09-11 16:15:38","2015-09-11 16:41:01","","t0kvTa5tSTiPb4twLFYvgA"
"0.994","DM提取规则及跟师弟聊","4BK","2015-09-11 15:00:39","2015-09-11 16:00:17","","ZO2I0D_aTti0lmaKs-UYAQ"
"0.972","DM提取规则及跟师弟聊","4BK","2015-09-11 13:54:41","2015-09-11 14:52:59","","fI9OrtyFRV6mgIU1iFcXDA"
"0.833","学车","4O","2015-09-11 12:10:39","2015-09-11 13:00:39","","daGP3ZGTTPKZbrscWjm-2w"
"0.872","DM提取规则及跟师弟聊","4BK","2015-09-11 10:07:59","2015-09-11 11:00:17","","7IuKv73GSdiYSKryxUlGrw"
"0.223","打印","4BK","2015-09-11 09:45:17","2015-09-11 09:58:39","","aU5p2sWjS4maq2nbHZEtZw"
"0.206","DM提取规则","4BK","2015-09-11 09:32:52","2015-09-11 09:45:12","","JjncgawyT1y4nUGPKxUYgg"
"0.250","找电影","4Pr","2015-09-11 09:05:39","2015-09-11 09:20:39","","t-0q9fn6Q-q6utQBkGEHbw"
"0.617","日记","2PM","2015-09-11 08:25:15","2015-09-11 09:02:15","","YiUlPCDJShWtB64hsZd6Uw"
"0.317","想着要不要回复邮件去","4Pr","2015-09-11 07:56:52","2015-09-11 08:15:52","","qNCjXoXOR8uPIPL_bY0_Ow"
"0.417","操场练","2S","2015-09-10 22:10:33","2015-09-10 22:35:33","","qLwK-BLETDCRha3K6PX-gA"
"0.500","很简单的画出了图，原来没画出是自己想的太多了，而且发现画出来的图没什么用","1P","2015-09-10 20:50:12","2015-09-10 21:20:12","","kYTqlG8BTnWqqeFuuapBcA"
"0.585","画图，但练1张图都没画好，思维混乱","1P","2015-09-10 20:00:35","2015-09-10 20:35:42","","ba5Nh0psTlWuUQUn4PNBgA"
"0.476","画图，但连1张图都没画好，自己又犯了不直接搜答案的毛病","1P","2015-09-10 19:16:25","2015-09-10 19:44:57","","qindpMn5RRaqkQ2Dtkn-5A"
"0.583","发邮件 填表","4BK","2015-09-10 17:20:07","2015-09-10 17:55:07","","CoAOYNq2TsWdZ5ctdN-nJg"
"0.433","给师弟说选课的事","4Pr","2015-09-10 16:45:00","2015-09-10 17:11:00","","oAl7GKW4SqeMGd-pHIRwHw"
"0.732","发邮件 填表","4BK","2015-09-10 15:56:05","2015-09-10 16:40:01","","ZV5HyyH4RpuHecQuM1F30w"
"0.859","Coupon 按周划分后进行处理","1P","2015-09-10 14:47:39","2015-09-10 15:39:13","","q96qxNkiQYeVqpg7FxIfmA"
"1.140","Coupon 按周划分","1P","2015-09-10 13:19:18","2015-09-10 14:27:41","","J7u7ITYJRAeDIeAF0L5E0g"
"1.011","论文","4BK","2015-09-10 10:36:18","2015-09-10 11:36:57","","T7qVvMg-TkyAQ6gsX1GQNg"
"0.500","日记","2PM","2015-09-10 09:55:29","2015-09-10 10:25:29","","oPP33-Q3RA6dZbu4FhW6sg"
"0.167","乱玩手机","4Pr","2015-09-10 09:40:01","2015-09-10 09:50:01","","U44XzEkGQ3O6GrowgMBLiA"
"2.167","学车","4BK","2015-09-10 07:00:22","2015-09-10 09:10:22","","gcFINVX0SnmjFWM7ZfkDuQ"
"0.333","日记","2PM","2015-09-10 06:10:50","2015-09-10 06:30:50","","VICSHiXRS4GLXTPyH5w3Vg"
"0.500","电脑上乱看","4E","2015-09-09 21:55:51","2015-09-09 22:25:51","","jENIai9SSGGBK48eQY90Tw"
"0.250","操场练","2S","2015-09-09 21:35:58","2015-09-09 21:50:58","","pX80bktPS-WWGTFU6mD2lA"
"1.204"," DM提取规则","4BK","2015-09-09 19:40:30","2015-09-09 20:52:43","","VvJuDKVDSPmiLjzrYR6iZw"
"0.695","PCI 优化算法+Python基础","1C","2015-09-09 18:45:21","2015-09-09 19:27:02","","kfgMGWA6S8uDpKwq9bC1Pg"
"0.370","PCI 优化算法","1C","2015-09-09 18:19:24","2015-09-09 18:41:37","","AmKo6gu9TnahbHkGfpQDqw"
"0.250","Coupon 按周划分","1P","2015-09-09 16:40:18","2015-09-09 16:55:18","","U2akY-a2R4Gdt-ZXBLpomA"
"1.153","Coupon 按周划分","1P","2015-09-09 15:27:20","2015-09-09 16:36:32","","CKLQJH3MQ0WSdP4Lmolqyw"
"0.810","Coupon 按周划分","1P","2015-09-09 14:24:01","2015-09-09 15:12:37","","n71Tm9m5TMKbfs5LXlEo7Q"
"0.617","DM提取规则","4BK","2015-09-09 13:35:24","2015-09-09 14:12:24","","qMArrNjfRLattOJA9znpeQ"
"0.167","总结遗传算法","1A","2015-09-09 11:15:56","2015-09-09 11:25:56","","BofSqDiaSn69-NnmNu9usw"
"1.013","PCI 优化算法","1C","2015-09-09 10:05:17","2015-09-09 11:06:02","","FkxeHG0bRraeLu6KefXr7A"
"0.546","PCI 优化算法","1C","2015-09-09 09:21:07","2015-09-09 09:53:54","","yM2QB6fDSgury1lQDrDrpA"
"0.437","PCI 优化算法","1C","2015-09-09 08:41:47","2015-09-09 09:07:59","","DmkQPfP0RH604_MnTRYlsg"
"0.347","《观呼吸》读书笔记","2R","2015-09-09 08:19:36","2015-09-09 08:40:25","","4AaLgNKPRpObrJ8hRVbzYA"
"0.333","《观呼吸》读书笔记","2R","2015-09-08 22:50:29","2015-09-08 23:10:29","","9NizuVAaTsGJmtLK1j2_gA"
"0.667","看电视剧","4E","2015-09-08 22:00:05","2015-09-08 22:40:05","","V5RVZG9mTneahFgsEyYG8w"
"0.500","操场练","2S","2015-09-08 21:20:20","2015-09-08 21:50:20","","S-uyP87KTFqT1OIUaKLV1w"
"0.417","PCI 优化算法","1C","2015-09-08 20:15:23","2015-09-08 20:40:23","","oVHjo6v6Rj6tKJenLPmHUQ"
"0.520","PCI 优化算法","1A","2015-09-08 19:31:30","2015-09-08 20:02:42","","SBDiYaFfQJu0VFWy3zQQJQ"
"0.804","识别矩阵 规则获取 但没看懂","4BK","2015-09-08 18:30:35","2015-09-08 19:18:49","","tC8lrMoZR_SuYj_zWZz5sg"
"3.333","周日记","2PM","2015-09-08 13:40:21","2015-09-08 17:00:21","","dPx_-y2eTKah1BTDjGm8yw"
"0.500","日记","2PM","2015-09-08 11:30:15","2015-09-08 12:00:15","","0z6BJnsdTAyJ87B6FZg21w"
"3.350","学车","4O","2015-09-08 07:39:28","2015-09-08 11:00:28","","AMqwck6qSC2CLuGooSRURw"
"0.483","Coupon","1P","2015-09-07 21:21:15","2015-09-07 21:50:15","","Kd5V_eSqQrCahSV2YQnjzA"
"0.667","恶习","4Pr","2015-09-07 20:20:06","2015-09-07 21:00:06","","OOwjm_d_QWibSOUf3MiYnA"
"0.403","Coupon","1P","2015-09-07 19:51:41","2015-09-07 20:15:52","","Fz0vXJfDTrG5aOFyhGKROA"
"0.933","跟同学聊qq","4O","2015-09-07 18:55:13","2015-09-07 19:51:13","","v-pMw6gGQ3y12rVGKz6yGg"
"0.250","跟同学聊","4O","2015-09-07 18:20:30","2015-09-07 18:35:30","","Ed_Yc80YRk-Zz4uHqcyBOw"
"0.333","Xu程序","4BK","2015-09-07 17:00:16","2015-09-07 17:20:16","","BJffDtUwR5mEXIHuZ8dj5A"
"0.549","PCI 优化算法","1C","2015-09-07 16:21:51","2015-09-07 16:54:48","","TqpYQ4k1TX2oHEwNwiFN6A"
"0.742","PCI 优化算法；状态很差","1C","2015-09-07 15:15:28","2015-09-07 16:00:00","","htHYpr2wSzmMoysyFPczaQ"
"0.383","PCI 优化算法","1C","2015-09-07 14:41:52","2015-09-07 15:04:52","","O3R8h1ZZScSP5WgtwoNuTA"
"0.167","Xu程序","4BK","2015-09-07 14:25:28","2015-09-07 14:35:28","","46hRmeWXRNqFFwPp-zP8kQ"
"0.583","Xu程序","4BK","2015-09-07 13:40:12","2015-09-07 14:15:12","","br08S8GARVCFFrBQUYhfOg"
"0.167","PCI 优化算法","1C","2015-09-07 11:35:43","2015-09-07 11:45:43","","YXrQa7bfT7ms8HocP5oJAg"
"0.943","Xu程序","4BK","2015-09-07 10:33:04","2015-09-07 11:29:37","","TUOm0bzwQx2CHJ2_e8KNag"
"2.317","学车","4O","2015-09-07 07:01:28","2015-09-07 09:20:28","","J2H3EAjIQcGKgq36MG3EVQ"
"1.456","Xu程序 对于不同的数据集及数据集预处理","4BK","2015-09-06 19:47:46","2015-09-06 21:15:09","","6VsfpNehRhyXUru7EMUdVQ"
"0.664","Xu程序 一个很简单的创建目录","1C","2015-09-06 18:58:17","2015-09-06 19:38:08","","PF8J7vSMTbSYHwdhgqMcWQ"
"0.682","Xu程序","4BK","2015-09-06 16:42:18","2015-09-06 17:23:13","","fj22gnlNRxeLkqiSpNsYnA"
"0.283","周日记，时间统计","2PM","2015-09-06 16:10:46","2015-09-06 16:27:46","","qpv_cfpDRS-PQSXPBWw4NA"
"0.333","跟boss聊许论文","4BK","2015-09-06 15:45:10","2015-09-06 16:05:10","","i9tfOTQMSOKzOYH907Cp4A"
"1.057","周日记，时间统计","2PM","2015-09-06 14:33:23","2015-09-06 15:36:48","","YEnZb9IjTlGjo9ZwUC9RcQ"
"0.900","Coupon 弄清Capule的意思","1P","2015-09-06 13:20:40","2015-09-06 14:14:40","","AJPJuqMmQjaoRYtxcBBlVA"
"0.969","Coupon 翻译","1P","2015-09-06 10:41:22","2015-09-06 11:39:31","","hSutzXkfQiGiuJfb0A6s1w"
"0.267","许程序","4BK","2015-09-06 10:15:29","2015-09-06 10:31:29","","4wHN6yIpR1yv5XEz4fTl4w"
"0.950","乱想及写日记","2PM","2015-09-06 09:15:34","2015-09-06 10:12:34","","SCbz1Ze4TsyvXGAgu4r1Hg"
"1.000","看综艺节目","4Pr","2015-09-06 08:12:09","2015-09-06 09:12:09","","3rBhqvmdTKCghRm976WviQ"
"8.000","去无锡找同学玩","4E","2015-09-05 10:00:39","2015-09-05 18:00:39","","lv1Sm0m-Rg-g0rfOZhYs4w"
"8.017","去无锡找同学玩","4E","2015-09-04 09:00:11","2015-09-04 17:01:11","","Ibd5kQhGQMaDnDNkJjTviQ"
"2.333","Coupon 翻译","1P","2015-09-03 20:20:50","2015-09-03 22:40:50","","PumEMatsSqOhBUtxQhtOdg"
"0.333","许程序","4BK","2015-09-03 20:00:50","2015-09-03 20:20:50","","1fqhCbVNSQ-VPW_qhoLhOw"
"0.333","生活中的事","4Pr","2015-09-03 19:00:28","2015-09-03 19:20:28","","B7vVLC3hSWqwD395hZxVSA"
"0.500","恶习","4Pr","2015-09-03 18:30:19","2015-09-03 19:00:19","","lVQ3gXAyQqii_x-sGxUFag"
"0.333","操场练","2S","2015-09-03 17:30:40","2015-09-03 17:50:40","","cxOzPd6STI6A_4Oy5excPw"
"0.250","许程序","4BK","2015-09-03 16:55:22","2015-09-03 17:10:22","","ecLzTvuKSAOTtx9lrGkyPw"
"0.405","许程序","4BK","2015-09-03 16:26:21","2015-09-03 16:50:38","","hHJHkOxMT7O4P7MJiW3FEg"
"0.864","Coupon 翻译","1P","2015-09-03 15:17:58","2015-09-03 16:09:47","","26crV4b7TrS6XW4YWcmkbw"
"0.246","许程序","4BK","2015-09-03 15:00:45","2015-09-03 15:15:29","","CsyUEnLDQiyyxb7dT9JytQ"
"0.650","不想学，乱翻网","4Pr","2015-09-03 14:20:23","2015-09-03 14:59:23","","2KBprU37Ra-Otx7D21O2Ug"
"2.000","学车","4O","2015-09-03 12:00:04","2015-09-03 14:00:04","","5zBIb0pvTfmlx-_Fa8vihw"
"0.642","许程序","4BK","2015-09-03 10:19:59","2015-09-03 10:58:29","","yPnTB41JS8-NpTQ3s1FhBg"
"0.647","许程序","4BK","2015-09-03 09:27:48","2015-09-03 10:06:38","","fqtio2wrR2Ce_0e50RIc8g"
"0.250","《观呼吸》","2R","2015-09-03 08:50:27","2015-09-03 09:05:27","","XVtT0DIcSeyf-_9_FSWedw"
"0.517","日记","2PM","2015-09-03 08:14:01","2015-09-03 08:45:01","","A4hJzAIXQ4-943o-WV-15w"
"0.333","《观呼吸》","2R","2015-09-02 23:05:23","2015-09-02 23:25:23","","azkp_wYmQzmrCbvo7ptU-A"
"0.167","宿舍吧","2S","2015-09-02 22:25:17","2015-09-02 22:35:17","","bUI7eBoiTUW2RxE9wJ_l_Q"
"0.167","时间记录及工整记","2PM","2015-09-02 21:35:07","2015-09-02 21:45:07","","P9MAkgglTmayxd1MG2QRkg"
"1.217","许 程序及下载数据集","4BK","2015-09-02 20:07:51","2015-09-02 21:20:52","","Jr103DJxRsms_mFYKRlYSw"
"1.039","pysqlite ","1B","2015-09-02 18:47:29","2015-09-02 19:49:49","","BA5w5K4qS8ioT90K_jXFJQ"
"0.350","睡觉及打水","4Pr","2015-09-02 18:25:56","2015-09-02 18:46:56","","92cKUHFSSFGJcb8skuhv5w"
"0.250","乱翻手机","4Pr","2015-09-02 18:05:24","2015-09-02 18:20:24","","TTbrpdoGTWehbjt0Z4QM5w"
"0.348","pysqlite ","1B","2015-09-02 16:39:58","2015-09-02 17:00:52","","UmIKRNbYRcefu0-0JILuhQ"
"0.378","对于SQL乱想","1B","2015-09-02 16:07:18","2015-09-02 16:29:59","","hyX9IHJ7RXCmaLknVB_dAg"
"0.097","SQL","1B","2015-09-02 16:00:56","2015-09-02 16:06:44","","5zAw3FeuQ8-7D-yLFFMlDQ"
"0.683","SQL","1B","2015-09-02 15:06:43","2015-09-02 15:47:43","","qJ9PAXPVRzi5QbUFh_CwNQ"
"0.417","给教练打电话，然后感到不舒服","4Pr","2015-09-02 14:40:45","2015-09-02 15:05:45","","FXdEd2IbTOakxIsYsAK4_A"
"0.795","主要是安装sql","1B","2015-09-02 13:49:16","2015-09-02 14:36:58","","IcQtDNetTxy1zYsmt1xALw"
"0.233","不知道该干什么，什么都不想做","4Pr","2015-09-02 13:35:16","2015-09-02 13:49:16","","KdgTHATLSlmqbPloGIHRuw"
"0.833","跑腿发票","4BK","2015-09-02 11:00:24","2015-09-02 11:50:24","","QCmX-662Qju4OdZsNAzkYw"
"1.500","想着去无锡的事及写日记","4Pr","2015-09-02 09:20:53","2015-09-02 10:50:53","","Q8oHwiDlQNKRNjd5Sfjb9w"
"2.000","清洁实验室位置","4O","2015-09-02 07:10:55","2015-09-02 09:10:55","","p-fFoBG_TBK_HRjscG7UWQ"
"0.500","操场练","2S","2015-09-01 21:30:07","2015-09-01 22:00:07","","LtW9UQX-Q6GdmjYSZOZNGg"
"0.823","许 程序","4BK","2015-09-01 20:11:29","2015-09-01 21:00:50","","4Ad0_-PUTB-cHkIG4gJgtg"
"0.818","一半时间花在了乱看资料，本来搜一下就可以解决了","1P","2015-09-01 19:01:31","2015-09-01 19:50:34","","KfDqr2HeS_WN9HVQLPux1g"
"0.635","Coupon 优惠券类别","1P","2015-09-01 18:13:11","2015-09-01 18:51:18","","4A-Lncr2Tn6TeRIhXQgj9A"
"0.470","Coupon(思维不清）","1P","2015-09-01 16:47:47","2015-09-01 17:16:00","","quXeBVJJTci2BKfm0d5CyA"
"0.389","Coupon","1P","2015-09-01 16:02:52","2015-09-01 16:26:11","","zvyRGIaxSWWVdtuTU4a7BQ"
"0.500","帮boss跑腿","4BK","2015-09-01 15:25:19","2015-09-01 15:55:19","","MRixPqO8QIKbTvQ3ge8nsg"
"0.799","SQL","1B","2015-09-01 14:27:24","2015-09-01 15:15:22","","Hujo_r6sQK28PG_zmB8_qw"
"0.467","SQL","1B","2015-09-01 13:47:34","2015-09-01 14:15:36","","m6GBU8mRRLK1oNS4RJsUfg"
"0.488","SQL","1B","2015-09-01 13:04:32","2015-09-01 13:33:48","","hrarIqEwRjqevj9iQYIz9A"
"0.500","SQL","1B","2015-09-01 10:55:03","2015-09-01 11:25:03","","-SPYT1PhRJO5VNWVq_FcBQ"
"0.425","PCI 文档过滤 收尾；SQL","1C","2015-09-01 10:17:50","2015-09-01 10:43:20","","Paz9iSPSQp6rcMJMQ0K2KQ"
"0.250","想 拉普拉斯平滑","1A","2015-09-01 09:50:44","2015-09-01 10:05:44","","JjelhEHeTNyUKLITRUDdZQ"
"0.983","PCI 文档过滤 费舍尔","1C","2015-09-01 08:50:15","2015-09-01 09:49:15","","RcBso3muTk6VYWnGhhYisA"
"0.667","《观呼吸》读了19页","2R","2015-09-01 07:45:13","2015-09-01 08:25:13","","hZeQDE99ROWDgs281prO8A"
"0.500","日记","2PM","2015-09-01 07:10:52","2015-09-01 07:40:52","","lt_5VU1bRtC6DTaKfMbbxQ"
"0.167","乱翻手机","4Pr","2015-09-01 07:00:52","2015-09-01 07:10:52","","HSgFKLFGSU-slcU0sOdW9g"
"0.234","PCI 文档过滤","1A","2015-08-31 21:17:34","2015-08-31 21:31:36","","zp86_e57TSKB637VSUDaaQ"
"0.167","查凸函数","1A","2015-08-31 21:05:55","2015-08-31 21:15:55","","sMQPPp9WTuSu-_tm89qY9w"
"0.270","PCI 文档过滤 对数卡方分布","1A","2015-08-31 20:48:38","2015-08-31 21:04:49","","M48-VbmNS22x_A0Ki4k-pQ"
"0.217","跟同学聊","4Pr","2015-08-31 20:27:57","2015-08-31 20:40:57","","AZQsbIg9SQmwGdru_j7h1Q"
"0.500","跟同学及boss聊","4Pr","2015-08-31 19:55:38","2015-08-31 20:25:38","","cAzcTwkHRKaNy7-_af_wWQ"
"0.483","许 程序及跟boss聊","4BK","2015-08-31 19:20:30","2015-08-31 19:49:30","","t45Na5ohSzmpz6YsVz3MIQ"
"0.550","许 程序","4BK","2015-08-31 18:40:38","2015-08-31 19:13:38","","k_x4Y6RWTG23gvoIaMrU6g"
"0.417","操场练","2S","2015-08-31 17:25:50","2015-08-31 17:50:50","","rWIXfq32Tf6e_S4c9K11OA"
"0.346","许 程序","4BK","2015-08-31 16:55:17","2015-08-31 17:16:02","","2E0gI4TIShiMTRjwbXRPEg"
"0.545","许 程序","4BK","2015-08-31 16:13:57","2015-08-31 16:46:38","","L23nXLzaTSye1x-Mz0zggA"
"0.108","许 程序","4BK","2015-08-31 15:55:45","2015-08-31 16:02:12","","A666hAUEThCo1ByQiiTgyg"
"0.896","《统计学习方法》SVM","1A","2015-08-31 14:43:30","2015-08-31 15:37:16","","TKqhjN0VRNOErzG5rg7Jiw"
"0.679","《统计学习方法》SVM","1A","2015-08-31 13:52:03","2015-08-31 14:32:47","","sIdi7vNVTbmCDUgzGWI6Gw"
"0.186","腾讯志愿者","4Pr","2015-08-31 13:40:48","2015-08-31 13:51:59","","H79DuZNEThCtyds6dSFG2A"
"0.809","许 程序","4BK","2015-08-31 11:10:21","2015-08-31 11:58:55","","p_LHOEW2S0GLyDkfbGT9BA"
"0.650","许 程序","4BK","2015-08-31 10:17:36","2015-08-31 10:56:37","","idGyonoaT22Gm7LWuaZLhg"
"0.333","乱看手机视频","4E","2015-08-31 09:40:36","2015-08-31 10:00:36","","zGf4uPI2T3G9VJD159manw"
"0.420","许 程序","4BK","2015-08-31 09:12:08","2015-08-31 09:37:19","","Vd79j5lhT2iNc1mB2RvkZw"
"0.594","许 程序","4BK","2015-08-31 08:18:24","2015-08-31 08:54:02","","GeZ4P1ykR1mXNqaHlBhNmA"
"0.333","《观呼吸》","2R","2015-08-31 07:50:50","2015-08-31 08:10:50","","rXMjMH2MTv6mXc5uV4r6ew"
"0.517","日记","2PM","2015-08-31 07:10:44","2015-08-31 07:41:44","","rvpG1BETTMOPOXdBD6J94A"
"0.250","《观呼吸》","2R","2015-08-31 06:15:16","2015-08-31 06:30:16","","jDPZoB26T6G8rAQkW7Sbqg"
"0.167","《观呼吸》","2R","2015-08-30 22:55:41","2015-08-30 23:05:41","","YibojBjtT0WxpKd8pc7LaA"
"0.167","宿舍练","2S","2015-08-30 22:30:14","2015-08-30 22:40:14","","fHM5byn9T-iP1FIpdLaUYg"
"0.500","电脑上乱看","4E","2015-08-30 21:40:25","2015-08-30 22:10:25","","oNeA1ffIRhi_jAJRXsNWdA"
"0.574","徐 程序","4BK","2015-08-30 20:59:26","2015-08-30 21:33:52","","IA9NeecfRsawnvArEH47wQ"
"0.483","《统计学习方法》SVM","1A","2015-08-30 20:22:34","2015-08-30 20:51:31","","O5QJnKi8T6SK92X2ajnphw"
"0.124","等待VS安装，不知道该干什么","4Pr","2015-08-30 20:11:21","2015-08-30 20:18:46","","pQWH9nXITluFRwBN1JGw8g"
"0.579","《统计学习方法》SVM","1A","2015-08-30 19:29:21","2015-08-30 20:04:06","","Eo4FMeo8T2GJ_TXWJgMc6A"
"0.491","《统计学习方法》SVM","1A","2015-08-30 18:48:24","2015-08-30 19:17:51","","ax0G0fUaRzWoPG8klWB4yw"
"0.250","不知道该干什么","4Pr","2015-08-30 18:30:42","2015-08-30 18:45:42","","CCntwZS2TOm4dgazt5TthA"
"0.377","PCI 文档过滤 费舍尔","1C","2015-08-30 16:53:03","2015-08-30 17:15:39","","WmZxRis4QJaa548-J4QeGA"
"0.207","PCI 文档过滤 费舍尔","1C","2015-08-30 16:36:27","2015-08-30 16:48:53","","N6RoSYCWTqCPB_Iqi8ZPrw"
"0.133","不知道该干什么","4Pr","2015-08-30 16:26:37","2015-08-30 16:34:37","","Vq2ma6NBQQaOmt5MRFUNYA"
"0.250","老板问","4BK","2015-08-30 16:10:05","2015-08-30 16:25:05","","BQ0rmwj5RByQ7pWepAumVw"
"1.004","PCI 文档过滤 简单的不到30行程序","1C","2015-08-30 14:58:17","2015-08-30 15:58:32","","jVCZuUO0SQSyLAKrpVReTA"
"0.567","PCI 文档过滤","1C","2015-08-30 14:10:50","2015-08-30 14:44:50","","mkMYq4-qRMKXv-FstNDPLA"
"0.500","周日记","2PM","2015-08-30 13:30:05","2015-08-30 14:00:05","","bRs3cR84Qt6Ho_4utec4fA"
"0.500","周日记","2PM","2015-08-30 11:10:18","2015-08-30 11:40:18","","0KsivH6KT8yvrCBMCvDedQ"
"0.578","周日记","2PM","2015-08-30 10:13:01","2015-08-30 10:47:43","","5TD5fnbiRraUAbKtoD71eg"
"0.583","蒙面歌王","4E","2015-08-30 09:30:17","2015-08-30 10:05:17","","Wepsfh9hSROUnRtUj6-QNQ"
"1.167","周日记","2PM","2015-08-30 08:10:20","2015-08-30 09:20:20","","24eNilQKRACK4VclmhVWqw"
